Country,Date,C1_School_closing,C1_Flag,C2_Workplace_closing,C2_Flag,C3_Cancel_public_events,C3_Flag,C4_Restrictions_on_gatherings,C4_Flag,C5_Close_public_transport,C5_Flag,C6_Stay_at_home_requirements,C6_Flag,C7_Restrictions_on_internal_movement,C7_Flag,C8_International_travel_controls
Albania,2020-01-01,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-02,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-03,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-04,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-05,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-06,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-07,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-08,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-09,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-11,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-12,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-13,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-14,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-15,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-16,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-17,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-18,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-19,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-20,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-21,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-22,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-23,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-24,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-25,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-26,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-27,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-28,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-29,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-30,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-01-31,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-01,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-02,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-03,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-04,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-05,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-06,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-07,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-08,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-09,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-11,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-12,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-13,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-14,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-15,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-16,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-17,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-18,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-19,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-20,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-21,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-22,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-23,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-24,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
Albania,2020-02-25,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-02-26,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-02-27,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-02-28,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-02-29,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-03-01,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-03-02,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-03-03,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-03-04,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-03-05,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-03-06,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-03-07,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-03-08,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1
Albania,2020-03-09,3,1,0,NA,2,1,2,1,0,NA,0,NA,0,NA,1
Albania,2020-03-10,3,1,0,NA,2,1,2,1,0,NA,0,NA,0,NA,1
Albania,2020-03-11,3,1,2,1,2,1,2,1,0,NA,0,NA,0,NA,2
Albania,2020-03-12,3,1,2,1,2,1,2,1,0,NA,0,NA,0,NA,2
Albania,2020-03-13,3,1,2,1,2,1,2,1,2,0,2,1,2,1,2
Albania,2020-03-14,3,1,2,1,2,1,2,1,2,0,2,1,2,1,2
Albania,2020-03-15,3,1,2,1,2,1,2,1,2,0,2,1,2,1,3
Albania,2020-03-16,3,1,2,1,2,1,2,1,2,0,2,1,2,1,3
Albania,2020-03-17,3,1,2,1,2,1,2,1,2,0,2,1,2,1,3
Albania,2020-03-18,3,1,2,1,2,1,2,1,2,0,2,1,2,1,3
Albania,2020-03-19,3,1,2,1,2,1,2,1,2,0,2,1,2,1,3
Albania,2020-03-20,3,1,2,1,2,1,2,1,2,0,2,1,2,1,3
Albania,2020-03-21,3,1,2,1,2,1,2,1,2,0,2,1,2,1,3
Albania,2020-03-22,3,1,2,1,2,1,2,1,2,0,2,1,2,1,3
Albania,2020-03-23,3,1,2,1,2,1,2,1,2,0,2,1,2,1,4
Albania,2020-03-24,3,1,2,1,2,1,2,1,2,0,2,1,2,1,4
Albania,2020-03-25,3,1,2,1,2,1,2,1,2,0,2,1,2,1,4
Albania,2020-03-26,3,1,2,1,2,1,2,1,2,0,2,1,2,1,4
Albania,2020-03-27,3,1,2,1,2,1,2,1,2,0,2,1,2,1,4
