Country,Year,Area_sq_km,Gdp_usd,Heath_expend_pc_usd,Population_0_14,Population_15_64,Population_65_up,Population,Population_urb
Albania,2015,27400,11386846319.1589,192.88513184,537791,1979179,363733,2880703,1654503
Albania,2016,27400,11861200797.4706,202.01332092,528734,1974734,372634,2876101,1680247
Albania,2017,27400,13019693450.8816,226.28067017,518036,1972416,383005,2873457,1706345
Albania,2018,27400,15147020535.3869,274.91409302,506571,1965829,393976,2866376,1728969
Albania,2019,NA,15279183289.9372,NA,496617,1952204,405370,2854191,1747593
Albania,2020,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2015,470,2789870187.50693,2246.25439453,NA,NA,NA,78011,68919
Andorra,2016,470,2896679211.86628,2361.2175293,NA,NA,NA,77297,68213
Andorra,2017,470,3000180750.11297,2567.42382813,NA,NA,NA,77001,67876
Andorra,2018,470,3218316013.22626,2821.80126953,NA,NA,NA,77006,67813
Andorra,2019,NA,3154057987.23833,NA,NA,NA,NA,77142,67873
Andorra,2020,NA,NA,NA,NA,NA,NA,NA,NA
Austria,2015,82520,381817565893.574,4612.82421875,1220347,5794026,1628326,8642699,4988134
Austria,2016,82520,395568644341.038,4709.87597656,1238043,5846595,1652029,8736668,5058968
Austria,2017,82520,417237869115.93,4937.97705078,1251975,5877874,1667717,8797566,5110858
Austria,2018,82520,455094861902.062,5326.43701172,1264013,5896670,1679837,8840521,5153759
Austria,2019,NA,445075391688.156,NA,1275321,5910700,1693899,8879920,5196085
Austria,2020,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,2015,202978,56454734396.5842,362.75283813,1543349,6587087,1359180,9489616,7324181
Belarus,2016,202988,47722657820.6675,298.62658691,1569097,6562720,1369717,9501534,7378986
Belarus,2017,202990,54726595249.1849,333.54107666,1586959,6526921,1384384,9498264,7421374
Belarus,2018,202980,60031262269.3365,356.25073242,1599482,6476178,1407839,9483499,7453556
Belarus,2019,NA,63080457022.6599,NA,1604455,6381802,1431592,9417849,7444245
Belarus,2020,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2015,30280,462149679343.822,4290,1917082,7311715,2045400,11274196,11034732
Belgium,2016,30280,475739588764.759,4328.84619141,1928234,7321395,2081793,11331422,11095615
Belgium,2017,30280,502698069366.942,4618.20898438,1937926,7323263,2113968,11375158,11143219
Belgium,2018,30280,543734366831.215,4912.70068359,1948932,7331122,2147000,11427054,11198627
Belgium,2019,NA,533097455834.509,NA,1962155,7354280,2186269,11502704,11277366
Belgium,2020,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,2015,51200,16211541820.2438,441.46075439,522688,2410082,496591,3429361,1617732
Bosnia and Herzegovina,2016,51200,16913330693.9653,460.88534546,505271,2370400,510596,3386267,1609086
Bosnia and Herzegovina,2017,51200,18080118128.3854,481.83258057,495882,2327787,527857,3351527,1604577
Bosnia and Herzegovina,2018,51200,20183510561.2553,539.54663086,490819,2285649,547462,3323929,1603630
Bosnia and Herzegovina,2019,NA,20164193806.88,NA,485041,2248149,567810,3301000,1605144
Bosnia and Herzegovina,2020,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,2015,108560,50647442756.7445,521.41906738,1024567,4716474,1436950,7177991,5310996
Bulgaria,2016,108560,53806894796.3801,562.34082031,1020446,4651208,1456167,7127822,5298039
Bulgaria,2017,108560,58971520599.2509,618.70593262,1022102,4585049,1468797,7075947,5283539
Bulgaria,2018,108560,66230155099.5775,689.90539551,1025337,4522903,1476797,7025037,5269340
Bulgaria,2019,NA,68558815111.6199,NA,1024417,4468788,1482556,6975761,5256027
