Country,N_knots,N_days_first_restriction,N_days_lockdown,Date_first_restriction,Date_lockdown
Albania,2,0,0,2020-03-09,2020-03-11
Albania,2,0,1,2020-03-09,2020-03-10
Andorra,1,0,NA,2020-03-13,NA
Andorra,1,1,NA,2020-03-12,NA
Austria,2,0,0,2020-03-11,2020-03-16
Austria,2,0,1,2020-03-11,2020-03-15
Austria,2,0,2,2020-03-11,2020-03-14
Austria,2,0,3,2020-03-11,2020-03-13
Austria,2,0,4,2020-03-11,2020-03-12
Austria,2,1,0,2020-03-10,2020-03-16
Austria,2,1,1,2020-03-10,2020-03-15
Austria,2,1,2,2020-03-10,2020-03-14
Austria,2,1,3,2020-03-10,2020-03-13
Austria,2,1,4,2020-03-10,2020-03-12
Austria,2,1,5,2020-03-10,2020-03-11
Austria,2,2,0,2020-03-09,2020-03-16
Austria,2,2,1,2020-03-09,2020-03-15
Austria,2,2,2,2020-03-09,2020-03-14
Austria,2,2,3,2020-03-09,2020-03-13
Austria,2,2,4,2020-03-09,2020-03-12
Austria,2,2,5,2020-03-09,2020-03-11
Austria,2,2,6,2020-03-09,2020-03-10
Austria,2,3,0,2020-03-08,2020-03-16
Austria,2,3,1,2020-03-08,2020-03-15
Austria,2,3,2,2020-03-08,2020-03-14
Austria,2,3,3,2020-03-08,2020-03-13
Austria,2,3,4,2020-03-08,2020-03-12
Austria,2,3,5,2020-03-08,2020-03-11
Austria,2,3,6,2020-03-08,2020-03-10
Austria,2,3,7,2020-03-08,2020-03-09
Austria,2,4,0,2020-03-07,2020-03-16
Austria,2,4,1,2020-03-07,2020-03-15
Austria,2,4,2,2020-03-07,2020-03-14
Austria,2,4,3,2020-03-07,2020-03-13
Austria,2,4,4,2020-03-07,2020-03-12
Austria,2,4,5,2020-03-07,2020-03-11
Austria,2,4,6,2020-03-07,2020-03-10
Austria,2,4,7,2020-03-07,2020-03-09
Austria,2,4,8,2020-03-07,2020-03-08
Austria,2,5,0,2020-03-06,2020-03-16
Austria,2,5,1,2020-03-06,2020-03-15
Austria,2,5,2,2020-03-06,2020-03-14
Austria,2,5,3,2020-03-06,2020-03-13
Austria,2,5,4,2020-03-06,2020-03-12
Austria,2,5,5,2020-03-06,2020-03-11
Austria,2,5,6,2020-03-06,2020-03-10
Austria,2,5,7,2020-03-06,2020-03-09
Austria,2,5,8,2020-03-06,2020-03-08
Austria,2,5,9,2020-03-06,2020-03-07
Austria,2,6,0,2020-03-05,2020-03-16
Austria,2,6,1,2020-03-05,2020-03-15
Austria,2,6,2,2020-03-05,2020-03-14
Austria,2,6,3,2020-03-05,2020-03-13
Austria,2,6,4,2020-03-05,2020-03-12
Austria,2,6,5,2020-03-05,2020-03-11
Austria,2,6,6,2020-03-05,2020-03-10
Austria,2,6,7,2020-03-05,2020-03-09
Austria,2,6,8,2020-03-05,2020-03-08
Austria,2,6,9,2020-03-05,2020-03-07
Austria,2,6,10,2020-03-05,2020-03-06
Austria,2,7,0,2020-03-04,2020-03-16
Austria,2,7,1,2020-03-04,2020-03-15
Austria,2,7,2,2020-03-04,2020-03-14
Austria,2,7,3,2020-03-04,2020-03-13
Austria,2,7,4,2020-03-04,2020-03-12
Austria,2,7,5,2020-03-04,2020-03-11
Austria,2,7,6,2020-03-04,2020-03-10
Austria,2,7,7,2020-03-04,2020-03-09
Austria,2,7,8,2020-03-04,2020-03-08
Austria,2,7,9,2020-03-04,2020-03-07
Austria,2,7,10,2020-03-04,2020-03-06
Austria,2,7,11,2020-03-04,2020-03-05
Austria,2,8,0,2020-03-03,2020-03-16
Austria,2,8,1,2020-03-03,2020-03-15
Austria,2,8,2,2020-03-03,2020-03-14
Austria,2,8,3,2020-03-03,2020-03-13
Austria,2,8,4,2020-03-03,2020-03-12
Austria,2,8,5,2020-03-03,2020-03-11
Austria,2,8,6,2020-03-03,2020-03-10
Austria,2,8,7,2020-03-03,2020-03-09
Austria,2,8,8,2020-03-03,2020-03-08
Austria,2,8,9,2020-03-03,2020-03-07
Austria,2,8,10,2020-03-03,2020-03-06
Austria,2,8,11,2020-03-03,2020-03-05
Austria,2,8,12,2020-03-03,2020-03-04
Austria,2,9,0,2020-03-02,2020-03-16
Austria,2,9,1,2020-03-02,2020-03-15
Austria,2,9,2,2020-03-02,2020-03-14
Austria,2,9,3,2020-03-02,2020-03-13
Austria,2,9,4,2020-03-02,2020-03-12
Austria,2,9,5,2020-03-02,2020-03-11
Austria,2,9,6,2020-03-02,2020-03-10
Austria,2,9,7,2020-03-02,2020-03-09
Austria,2,9,8,2020-03-02,2020-03-08
Austria,2,9,9,2020-03-02,2020-03-07
Austria,2,9,10,2020-03-02,2020-03-06
Austria,2,9,11,2020-03-02,2020-03-05
Austria,2,9,12,2020-03-02,2020-03-04
Austria,2,9,13,2020-03-02,2020-03-03
Austria,2,10,0,2020-03-01,2020-03-16
Austria,2,10,1,2020-03-01,2020-03-15
Austria,2,10,2,2020-03-01,2020-03-14
Austria,2,10,3,2020-03-01,2020-03-13
Austria,2,10,4,2020-03-01,2020-03-12
Austria,2,10,5,2020-03-01,2020-03-11
Austria,2,10,6,2020-03-01,2020-03-10
Austria,2,10,7,2020-03-01,2020-03-09
Austria,2,10,8,2020-03-01,2020-03-08
Austria,2,10,9,2020-03-01,2020-03-07
Austria,2,10,10,2020-03-01,2020-03-06
Austria,2,10,11,2020-03-01,2020-03-05
Austria,2,10,12,2020-03-01,2020-03-04
Austria,2,10,13,2020-03-01,2020-03-03
Austria,2,10,14,2020-03-01,2020-03-02
Austria,2,11,0,2020-02-29,2020-03-16
Austria,2,11,1,2020-02-29,2020-03-15
Austria,2,11,2,2020-02-29,2020-03-14
Austria,2,11,3,2020-02-29,2020-03-13
Austria,2,11,4,2020-02-29,2020-03-12
Austria,2,11,5,2020-02-29,2020-03-11
Austria,2,11,6,2020-02-29,2020-03-10
Austria,2,11,7,2020-02-29,2020-03-09
Austria,2,11,8,2020-02-29,2020-03-08
Austria,2,11,9,2020-02-29,2020-03-07
Austria,2,11,10,2020-02-29,2020-03-06
Austria,2,11,11,2020-02-29,2020-03-05
Austria,2,11,12,2020-02-29,2020-03-04
Austria,2,11,13,2020-02-29,2020-03-03
Austria,2,11,14,2020-02-29,2020-03-02
Austria,2,11,15,2020-02-29,2020-03-01
Austria,2,12,0,2020-02-28,2020-03-16
Austria,2,12,1,2020-02-28,2020-03-15
Austria,2,12,2,2020-02-28,2020-03-14
Austria,2,12,3,2020-02-28,2020-03-13
Austria,2,12,4,2020-02-28,2020-03-12
Austria,2,12,5,2020-02-28,2020-03-11
Austria,2,12,6,2020-02-28,2020-03-10
Austria,2,12,7,2020-02-28,2020-03-09
Austria,2,12,8,2020-02-28,2020-03-08
Austria,2,12,9,2020-02-28,2020-03-07
Austria,2,12,10,2020-02-28,2020-03-06
Austria,2,12,11,2020-02-28,2020-03-05
Austria,2,12,12,2020-02-28,2020-03-04
Austria,2,12,13,2020-02-28,2020-03-03
Austria,2,12,14,2020-02-28,2020-03-02
Austria,2,12,15,2020-02-28,2020-03-01
Austria,2,12,16,2020-02-28,2020-02-29
Austria,2,13,0,2020-02-27,2020-03-16
Austria,2,13,1,2020-02-27,2020-03-15
Austria,2,13,2,2020-02-27,2020-03-14
Austria,2,13,3,2020-02-27,2020-03-13
Austria,2,13,4,2020-02-27,2020-03-12
Austria,2,13,5,2020-02-27,2020-03-11
Austria,2,13,6,2020-02-27,2020-03-10
Austria,2,13,7,2020-02-27,2020-03-09
Austria,2,13,8,2020-02-27,2020-03-08
Austria,2,13,9,2020-02-27,2020-03-07
Austria,2,13,10,2020-02-27,2020-03-06
Austria,2,13,11,2020-02-27,2020-03-05
Austria,2,13,12,2020-02-27,2020-03-04
Austria,2,13,13,2020-02-27,2020-03-03
Austria,2,13,14,2020-02-27,2020-03-02
Austria,2,13,15,2020-02-27,2020-03-01
Austria,2,13,16,2020-02-27,2020-02-29
Austria,2,13,17,2020-02-27,2020-02-28
Belarus,1,0,NA,2020-04-04,NA
Belarus,1,1,NA,2020-04-03,NA
Belarus,1,2,NA,2020-04-02,NA
Belarus,1,3,NA,2020-04-01,NA
Belarus,1,4,NA,2020-03-31,NA
Belarus,1,5,NA,2020-03-30,NA
Belarus,1,6,NA,2020-03-29,NA
Belarus,1,7,NA,2020-03-28,NA
Belarus,1,8,NA,2020-03-27,NA
Belarus,1,9,NA,2020-03-26,NA
Belarus,1,10,NA,2020-03-25,NA
Belarus,1,11,NA,2020-03-24,NA
Belarus,1,12,NA,2020-03-23,NA
Belarus,1,13,NA,2020-03-22,NA
Belarus,1,14,NA,2020-03-21,NA
Belarus,1,15,NA,2020-03-20,NA
Belarus,1,16,NA,2020-03-19,NA
Belarus,1,17,NA,2020-03-18,NA
Belarus,1,18,NA,2020-03-17,NA
Belarus,1,19,NA,2020-03-16,NA
Belarus,1,20,NA,2020-03-15,NA
Belarus,1,21,NA,2020-03-14,NA
Belarus,1,22,NA,2020-03-13,NA
Belarus,1,23,NA,2020-03-12,NA
Belarus,1,24,NA,2020-03-11,NA
Belarus,1,25,NA,2020-03-10,NA
Belarus,1,26,NA,2020-03-09,NA
Belarus,1,27,NA,2020-03-08,NA
Belarus,1,28,NA,2020-03-07,NA
Belarus,1,29,NA,2020-03-06,NA
Belarus,1,30,NA,2020-03-05,NA
Belarus,1,31,NA,2020-03-04,NA
Belgium,2,0,0,2020-03-10,2020-03-14
Belgium,2,0,1,2020-03-10,2020-03-13
Belgium,2,0,2,2020-03-10,2020-03-12
Belgium,2,0,3,2020-03-10,2020-03-11
Belgium,2,1,0,2020-03-09,2020-03-14
Belgium,2,1,1,2020-03-09,2020-03-13
Belgium,2,1,2,2020-03-09,2020-03-12
Belgium,2,1,3,2020-03-09,2020-03-11
Belgium,2,1,4,2020-03-09,2020-03-10
Belgium,2,2,0,2020-03-08,2020-03-14
Belgium,2,2,1,2020-03-08,2020-03-13
Belgium,2,2,2,2020-03-08,2020-03-12
Belgium,2,2,3,2020-03-08,2020-03-11
Belgium,2,2,4,2020-03-08,2020-03-10
Belgium,2,2,5,2020-03-08,2020-03-09
Belgium,2,3,0,2020-03-07,2020-03-14
Belgium,2,3,1,2020-03-07,2020-03-13
Belgium,2,3,2,2020-03-07,2020-03-12
Belgium,2,3,3,2020-03-07,2020-03-11
Belgium,2,3,4,2020-03-07,2020-03-10
Belgium,2,3,5,2020-03-07,2020-03-09
Belgium,2,3,6,2020-03-07,2020-03-08
Belgium,2,4,0,2020-03-06,2020-03-14
Belgium,2,4,1,2020-03-06,2020-03-13
Belgium,2,4,2,2020-03-06,2020-03-12
Belgium,2,4,3,2020-03-06,2020-03-11
Belgium,2,4,4,2020-03-06,2020-03-10
Belgium,2,4,5,2020-03-06,2020-03-09
Belgium,2,4,6,2020-03-06,2020-03-08
Belgium,2,4,7,2020-03-06,2020-03-07
Belgium,2,5,0,2020-03-05,2020-03-14
Belgium,2,5,1,2020-03-05,2020-03-13
Belgium,2,5,2,2020-03-05,2020-03-12
Belgium,2,5,3,2020-03-05,2020-03-11
Belgium,2,5,4,2020-03-05,2020-03-10
Belgium,2,5,5,2020-03-05,2020-03-09
Belgium,2,5,6,2020-03-05,2020-03-08
Belgium,2,5,7,2020-03-05,2020-03-07
Belgium,2,5,8,2020-03-05,2020-03-06
Belgium,2,6,0,2020-03-04,2020-03-14
Belgium,2,6,1,2020-03-04,2020-03-13
Belgium,2,6,2,2020-03-04,2020-03-12
Belgium,2,6,3,2020-03-04,2020-03-11
Belgium,2,6,4,2020-03-04,2020-03-10
Belgium,2,6,5,2020-03-04,2020-03-09
Belgium,2,6,6,2020-03-04,2020-03-08
Belgium,2,6,7,2020-03-04,2020-03-07
Belgium,2,6,8,2020-03-04,2020-03-06
Belgium,2,6,9,2020-03-04,2020-03-05
Belgium,2,7,0,2020-03-03,2020-03-14
Belgium,2,7,1,2020-03-03,2020-03-13
Belgium,2,7,2,2020-03-03,2020-03-12
Belgium,2,7,3,2020-03-03,2020-03-11
Belgium,2,7,4,2020-03-03,2020-03-10
Belgium,2,7,5,2020-03-03,2020-03-09
Belgium,2,7,6,2020-03-03,2020-03-08
Belgium,2,7,7,2020-03-03,2020-03-07
Belgium,2,7,8,2020-03-03,2020-03-06
Belgium,2,7,9,2020-03-03,2020-03-05
Belgium,2,7,10,2020-03-03,2020-03-04
Belgium,2,8,0,2020-03-02,2020-03-14
Belgium,2,8,1,2020-03-02,2020-03-13
Belgium,2,8,2,2020-03-02,2020-03-12
Belgium,2,8,3,2020-03-02,2020-03-11
Belgium,2,8,4,2020-03-02,2020-03-10
Belgium,2,8,5,2020-03-02,2020-03-09
Belgium,2,8,6,2020-03-02,2020-03-08
Belgium,2,8,7,2020-03-02,2020-03-07
Belgium,2,8,8,2020-03-02,2020-03-06
Belgium,2,8,9,2020-03-02,2020-03-05
Belgium,2,8,10,2020-03-02,2020-03-04
Belgium,2,8,11,2020-03-02,2020-03-03
Belgium,2,9,0,2020-03-01,2020-03-14
Belgium,2,9,1,2020-03-01,2020-03-13
Belgium,2,9,2,2020-03-01,2020-03-12
Belgium,2,9,3,2020-03-01,2020-03-11
Belgium,2,9,4,2020-03-01,2020-03-10
Belgium,2,9,5,2020-03-01,2020-03-09
Belgium,2,9,6,2020-03-01,2020-03-08
Belgium,2,9,7,2020-03-01,2020-03-07
Belgium,2,9,8,2020-03-01,2020-03-06
Belgium,2,9,9,2020-03-01,2020-03-05
Belgium,2,9,10,2020-03-01,2020-03-04
Belgium,2,9,11,2020-03-01,2020-03-03
Belgium,2,9,12,2020-03-01,2020-03-02
Belgium,2,10,0,2020-02-29,2020-03-14
Belgium,2,10,1,2020-02-29,2020-03-13
Belgium,2,10,2,2020-02-29,2020-03-12
Belgium,2,10,3,2020-02-29,2020-03-11
Belgium,2,10,4,2020-02-29,2020-03-10
Belgium,2,10,5,2020-02-29,2020-03-09
Belgium,2,10,6,2020-02-29,2020-03-08
Belgium,2,10,7,2020-02-29,2020-03-07
Belgium,2,10,8,2020-02-29,2020-03-06
Belgium,2,10,9,2020-02-29,2020-03-05
Belgium,2,10,10,2020-02-29,2020-03-04
Belgium,2,10,11,2020-02-29,2020-03-03
Belgium,2,10,12,2020-02-29,2020-03-02
Belgium,2,10,13,2020-02-29,2020-03-01
Belgium,2,11,0,2020-02-28,2020-03-14
Belgium,2,11,1,2020-02-28,2020-03-13
Belgium,2,11,2,2020-02-28,2020-03-12
Belgium,2,11,3,2020-02-28,2020-03-11
Belgium,2,11,4,2020-02-28,2020-03-10
Belgium,2,11,5,2020-02-28,2020-03-09
Belgium,2,11,6,2020-02-28,2020-03-08
Belgium,2,11,7,2020-02-28,2020-03-07
Belgium,2,11,8,2020-02-28,2020-03-06
Belgium,2,11,9,2020-02-28,2020-03-05
Belgium,2,11,10,2020-02-28,2020-03-04
Belgium,2,11,11,2020-02-28,2020-03-03
Belgium,2,11,12,2020-02-28,2020-03-02
Belgium,2,11,13,2020-02-28,2020-03-01
Belgium,2,11,14,2020-02-28,2020-02-29
Belgium,2,12,0,2020-02-27,2020-03-14
Belgium,2,12,1,2020-02-27,2020-03-13
Belgium,2,12,2,2020-02-27,2020-03-12
Belgium,2,12,3,2020-02-27,2020-03-11
Belgium,2,12,4,2020-02-27,2020-03-10
Belgium,2,12,5,2020-02-27,2020-03-09
Belgium,2,12,6,2020-02-27,2020-03-08
Belgium,2,12,7,2020-02-27,2020-03-07
Belgium,2,12,8,2020-02-27,2020-03-06
Belgium,2,12,9,2020-02-27,2020-03-05
Belgium,2,12,10,2020-02-27,2020-03-04
Belgium,2,12,11,2020-02-27,2020-03-03
Belgium,2,12,12,2020-02-27,2020-03-02
Belgium,2,12,13,2020-02-27,2020-03-01
Belgium,2,12,14,2020-02-27,2020-02-29
Belgium,2,12,15,2020-02-27,2020-02-28
Belgium,2,13,0,2020-02-26,2020-03-14
Belgium,2,13,1,2020-02-26,2020-03-13
Belgium,2,13,2,2020-02-26,2020-03-12
Belgium,2,13,3,2020-02-26,2020-03-11
Belgium,2,13,4,2020-02-26,2020-03-10
Belgium,2,13,5,2020-02-26,2020-03-09
Belgium,2,13,6,2020-02-26,2020-03-08
Belgium,2,13,7,2020-02-26,2020-03-07
Belgium,2,13,8,2020-02-26,2020-03-06
Belgium,2,13,9,2020-02-26,2020-03-05
Belgium,2,13,10,2020-02-26,2020-03-04
Belgium,2,13,11,2020-02-26,2020-03-03
Belgium,2,13,12,2020-02-26,2020-03-02
Belgium,2,13,13,2020-02-26,2020-03-01
Belgium,2,13,14,2020-02-26,2020-02-29
Belgium,2,13,15,2020-02-26,2020-02-28
Belgium,2,13,16,2020-02-26,2020-02-27
Belgium,2,14,0,2020-02-25,2020-03-14
Belgium,2,14,1,2020-02-25,2020-03-13
Belgium,2,14,2,2020-02-25,2020-03-12
Belgium,2,14,3,2020-02-25,2020-03-11
Belgium,2,14,4,2020-02-25,2020-03-10
Belgium,2,14,5,2020-02-25,2020-03-09
Belgium,2,14,6,2020-02-25,2020-03-08
Belgium,2,14,7,2020-02-25,2020-03-07
Belgium,2,14,8,2020-02-25,2020-03-06
Belgium,2,14,9,2020-02-25,2020-03-05
Belgium,2,14,10,2020-02-25,2020-03-04
Belgium,2,14,11,2020-02-25,2020-03-03
Belgium,2,14,12,2020-02-25,2020-03-02
Belgium,2,14,13,2020-02-25,2020-03-01
Belgium,2,14,14,2020-02-25,2020-02-29
Belgium,2,14,15,2020-02-25,2020-02-28
Belgium,2,14,16,2020-02-25,2020-02-27
Belgium,2,14,17,2020-02-25,2020-02-26
Belgium,2,15,0,2020-02-24,2020-03-14
Belgium,2,15,1,2020-02-24,2020-03-13
Belgium,2,15,2,2020-02-24,2020-03-12
Belgium,2,15,3,2020-02-24,2020-03-11
Belgium,2,15,4,2020-02-24,2020-03-10
