Country,Area_sq_km,Gdp_usd,Health_expend_usd,Population,Population_0_14,Population_15_64,Population_65_up,Population_urb,Date_1,Date_first_restriction,Date_restrictions_eased,Date_lockdown,Date_lockdown_eased,Date_lockdown_end,Length_lockdown,Date_start,Date_T
Albania,27400,15279183289.9372,788007158.2942955,2854191,496617,1952204,405370,1747593,2020-03-09,2020-03-09,2020-06-01,2020-03-11,2020-05-18,2020-11-01,68,2020-03-11,2020-06-15
Andorra,470,3154057987.23833,217295628.56142718,77142,NA,NA,NA,67873,2020-03-02,2020-03-13,2020-06-02,NA,NA,NA,NA,2020-03-18,2020-06-30
Austria,82520,445075391688.156,47088478257.2879,8879920,1275321,5910700,1693899,5196085,2020-02-25,2020-03-11,2020-05-01,2020-03-16,2020-05-01,2020-06-03,46,2020-03-01,2020-05-29
Belarus,202980,63080457022.6599,3378503464.654338,9417849,1604455,6381802,1431592,7444245,2020-02-28,2020-04-04,2020-04-20,NA,NA,NA,NA,2020-03-13,2020-05-18
Belgium,30280,533097455834.509,56137695997.21985,11502704,1962155,7354280,2186269,11277366,2020-02-04,2020-03-10,2020-06-08,2020-03-14,2020-06-05,2020-06-08,83,2020-03-04,2020-07-03
Bosnia and Herzegovina,51200,20164193806.88,1793414693.167849,3301000,485041,2248149,567810,1605144,2020-03-05,2020-03-10,2020-05-15,2020-03-17,2020-05-11,2020-07-05,55,2020-03-11,2020-06-08
Bulgaria,108560,68558815111.6199,4846610929.957383,6975761,1024417,4468788,1482556,5256027,2020-03-08,2020-03-05,2020-05-06,2020-03-21,2020-05-06,2020-05-06,46,2020-03-12,2020-06-03
Croatia,56590,60752588976.3175,4145981738.265042,4065253,591991,2625245,848017,2327032,2020-02-25,2020-03-10,2020-05-25,2020-03-20,2020-04-27,2020-05-11,38,2020-02-29,2020-05-25
Czech Republic,77200,250680504529.647,18768077345.45002,10671870,1677933,6880827,2113110,7888753,2020-03-01,2020-03-11,2020-04-02,2020-03-13,2020-04-21,2020-05-25,39,2020-03-06,2020-05-19
Denmark,40000,350104327658.675,36017694102.11996,5814422,953621,3699937,1160864,5116342,2020-02-27,2020-03-03,2020-05-22,NA,NA,NA,NA,2020-03-17,2020-06-19
Estonia,43470,31471100656.2431,2052988969.21875,1326898,218451,843176,265271,916236,2020-02-27,2020-03-12,2020-05-08,2020-03-27,2020-05-15,2020-05-15,49,2020-03-19,2020-06-12
Finland,303920,269296310180.392,24906330742.740547,5521606,884359,3414728,1222519,4717991,2020-01-29,2020-03-12,2020-05-29,2020-04-14,2020-05-14,2020-05-14,30,2020-03-18,2020-06-11
France,547557,2715518274227.45,314074966613.8192,67055854,11937389,41444858,13673607,54120109,2020-01-24,2020-02-29,2020-06-22,2020-03-17,2020-05-11,2020-06-02,55,2020-03-01,2020-06-08
Germany,349380,3861123558039.21,453677198378.4983,83092962,11466404,53709229,17917329,64294010,2020-01-27,2020-02-26,2020-05-06,2020-03-22,2020-05-07,2020-05-07,46,2020-03-02,2020-06-04
Greece,128900,209852761132.839,16817351757.626743,10717169,1489322,6876343,2351504,8508146,2020-02-26,2020-02-29,2020-06-01,2020-03-12,2020-05-04,2020-05-30,53,2020-03-06,2020-06-01
Hungary,91260,163469042867.956,10575233058.609789,9771141,1410290,6436478,1924373,7000436,2020-03-04,2020-03-11,2020-08-11,2020-03-27,2020-05-04,2020-05-04,38,2020-03-12,2020-06-01
Iceland,100830,24188038473.5438,2303596911.441264,360563,70840,234945,54777,338406,2020-02-28,2020-03-16,2020-05-25,2020-03-16,2020-05-04,2020-05-04,49,2020-03-03,2020-06-01
Ireland,68890,388698711348.156,26717042133.76931,4934040,1043568,3188712,701760,3128428,2020-02-29,2020-03-12,2020-06-05,2020-03-27,2020-05-18,2020-06-26,52,2020-03-05,2020-06-15
Italy,297730,2003576145498.04,180600389866.1315,60302093,7939770,38485523,13876800,42655289,2020-01-31,2020-02-21,2020-05-04,2020-03-10,2020-05-04,2020-05-04,55,2020-02-23,2020-06-01
Latvia,62090,34102913582.4235,2122767810.7035155,1913822,312101,1212516,389205,1305648,2020-03-02,2020-03-13,2020-06-10,2020-03-24,2020-05-12,2020-05-12,49,2020-03-10,2020-06-09
Lithuania,62630,54627411860.4705,3499840588.183468,2794137,422905,1807978,563254,1895962,2020-02-28,2020-03-12,2020-06-17,2020-03-16,2020-04-14,2020-05-30,29,2020-03-14,2020-05-12
Luxembourg,2430,71104919108.1411,3785755708.303821,620001,97385,434111,88505,565584,2020-02-29,2020-03-09,2020-05-25,2020-03-16,2020-04-20,2020-05-11,35,2020-03-11,2020-05-18
Moldova,32885.3,11968713370.4969,576769371.9864156,2663251,423182,1920129,319940,1137901,2020-03-08,2020-03-10,2020-07-17,2020-03-11,2020-04-18,2020-09-02,38,2020-03-14,2020-05-16
Monaco,2.027,7188238072.74445,114827535.88764696,38964,NA,NA,NA,38964,2020-02-29,2020-01-24,2020-04-19,NA,NA,NA,NA,2020-03-17,2020-05-17
Netherlands,33670,907050863145.097,91440210141.42387,17344874,2754972,11189384,3400518,15935776,2020-02-27,2020-03-06,2020-06-01,2020-03-16,2020-05-11,2020-06-15,56,2020-03-03,2020-06-08
Norway,365107.85,403336363636.364,43765384290.987495,5347896,931228,3492944,923724,4418218,2020-02-26,2020-03-10,2020-05-11,2020-03-19,2020-04-20,2020-05-11,32,2020-03-17,2020-05-18
Poland,306170,595858207011.512,37167241880.787315,37965475,5765204,25322105,6878166,22793332,2020-03-04,2020-03-10,2020-05-30,2020-03-14,2020-04-09,2020-06-02,26,2020-03-13,2020-05-07
Portugal,91605.6,238785085030.988,22780450836.75237,10286263,1363144,6623451,2299668,6764658,2020-03-02,2020-03-09,2020-07-28,2020-03-19,2020-04-14,2020-06-25,26,2020-03-07,2020-05-12
Romania,230080,250077444017.084,13382592123.93318,19366221,3016087,12711208,3638926,10474027,2020-02-26,2020-03-08,2020-05-11,2020-03-12,2020-05-15,2020-06-17,64,2020-03-11,2020-06-12
